#Distance	    #Energy		#error
0.529177249         -4.28528 +/-          0.00086  
0.635012699         -5.08398 +/-          0.00032  
0.740848149         -5.45491 +/-          0.00026  
0.846683598         -5.60939 +/-          0.00028  
0.952519048         -5.64964 +/-          0.00023  
1.058354498         -5.62962 +/-          0.00035  
1.270025398	    -5.51057 +/-	  0.00063
1.481696297	    -5.36970 +/-	  0.00077
1.693367197         -5.24682 +/-          0.00022  
1.905038096         -5.15230 +/-          0.00048  
