#Distance           #Hartree Fock			#CIPSI 
0.529177249      -0.103136575708708E+02    -0.105531704599698E+02
0.635012699      -0.135690826120911E+02    -0.138424371854709E+02
0.740848149      -0.150626173098806E+02    -0.153759536537652E+02
0.846683598      -0.156578355255810E+02    -0.160154868235623E+02
0.952519048      -0.157669776172512E+02    -0.161746484707227E+02
1.058354498      -0.156050709015681E+02    -0.160673061007030E+02
1.270025398      -0.148955717860329E+02    -0.154196168858152E+02
1.481696297      -0.138833056280763E+02    -0.146830237592646E+02
1.693367197      -0.131315205269683E+02    -0.139151284953622E+02
1.905038096      -0.123395983180470E+02    -0.133180436894485E+02

